Last Name,First Name,Date,Event,Pools,Pools,Table of 512,Table of 256,Table of 128,Table of 128 ,Table of 64,Table of 32,Table of 16,Table of 8,Semi-Finals,Bronze Medal Matches,Finals
Badawi,Amgad,2/15/2020,U20WE,Ref: 1,,,Ref: 2,Ref: 1,,Ref: 1,,,,,,
Badawi,Amgad,2/16/2020,U17WF,Ref: 1,,,Ref: 2,Ref: 1,,Ref: 2,,Ref: 1,Video: 1,,,
Badawi,Amgad,2/17/2020,U17MF,Ref: 2,,,Ref: 5,Ref: 2,,Ref: 1,Ref: 1,Video: 1,Video: 1,Ref: 1,,Video: 1
Baker,Tyler,11/9/2019,U17ME,Ref: 1,,,Ref: 2,,,,Ref: 1,,,,,
Baker,Tyler,11/9/2019,U20MF,Ref: 1,,,Ref: 4,Ref: 1,,,Ref: 1,Video: 1,,,,
Baker,Tyler,11/10/2019,U20WF,Ref: 1,,,,,,Ref: 1,,Video: 1,,,,Ref: 1
Baker,Tyler,11/11/2019,U17WF,Ref: 1,,,Ref: 1,Ref: 1,,Ref: 2,,Video: 1,Assist: 1,,,
Balog,Marcus,10/18/2019,U17WF,Ref: 1,,,,Ref: 2,,Ref: 1,Ref: 1,,Video: 1,Ref: 1,,Assist: 1
Balog,Marcus,10/19/2019,DV1MF,Ref: 1,,,Ref: 2,Ref: 1,,Ref: 1,Ref: 1,Ref: 1,Video: 1,,,
Balog,Marcus,10/20/2019,DV1WE,,,,,,,Ref: 2,Ref: 1,Video: 1,Video: 1,,,
Balog,Marcus,10/20/2019,DV1WF,Ref: 1,,,,Ref: 3,,Ref: 1,Ref: 1,Video: 1,Video: 1,Ref: 1,,
Balog,Marcus,10/21/2019,U17MF,Ref: 2,,,,,,,,Video: 1,,,,Ref: 1
Balog,Marcus,11/8/2019,U17MF,Ref: 1,,,Ref: 2,Ref: 2,,Ref: 1,,Video: 1,Video: 1,,,
Balog,Marcus,11/8/2019,Y14WF,Ref: 1,,,,,,,Ref: 1,,,,,
Balog,Marcus,11/9/2019,U17ME,Ref: 1,,,Ref: 3,,,Ref: 1,Ref: 1,,,,,
Balog,Marcus,11/9/2019,U20MF,Ref: 1,,,Ref: 3,Ref: 1,,Ref: 1,,Assist: 1,Video: 1,Video: 1,,
Balog,Marcus,11/10/2019,U20WF,Ref: 1,,,Ref: 2,,,Ref: 1,Ref: 1,Video: 1,Video: 1,,,
Balog,Marcus,11/10/2019,Y14MF,Ref: 1,,,Ref: 1,Ref: 3,,Ref: 1,Ref: 1,,,,,
Balog,Marcus,11/11/2019,U17WF,Ref: 1,,,Ref: 1,Ref: 2,,,,Ref: 1,Video: 1,,,Video: 1
Balog,Marcus,12/6/2019,DV1MF,Ref: 1,,,,Ref: 1,,Ref: 1,,Video: 1,Ref: 1,Assist: 1,,Ref: 1
Balog,Marcus,12/6/2019,V60WF,,,,,,,,,Ref: 2,Ref: 1,Video: 1,,
Balog,Marcus,12/9/2019,DV2WF,Ref: 1,,,,,,,,,Ref: 1,Video: 1,,Video: 1
Balog,Marcus,1/3/2020,DV1WF,,,,,Ref: 2,,Ref: 2,Ref: 1,Video: 1,Ref: 1,Video: 1,,
Balog,Marcus,1/3/2020,STMMF,,,,,,,,Ref: 1,Ref: 1,Ref: 1,,Ref: 1,Ref: 1
Balog,Marcus,1/4/2020,DV1MF,Ref: 2,,,Ref: 5,Ref: 3,,Ref: 1,Ref: 1,Video: 1,Video: 1,Video: 1,,Ref: 1
Balog,Marcus,1/5/2020,U20MF,Ref: 1,,,,,,,,Video: 1,,,,Video: 1
Barnhart,William,12/6/2019,DV1MF,Ref: 1,,,,,,Ref: 3,Ref: 1,Ref: 1,,,,
Barnhart,William,12/6/2019,V60WF,Ref: 1,,,,,,,,Ref: 1,Video: 2,Ref: 1,,Ref: 1
Barnhart,William,12/7/2019,DV1WF,Ref: 1,,,,Ref: 3,,Ref: 2,Ref: 1,Video: 1,,,,
Barnhart,William,12/7/2019,V50MF,Ref: 1,,,,,,,,,Video: 1  Assist: 1,Video: 1,,Video: 1
Barnhart,William,12/8/2019,DV1ME,Ref: 1,,,,Ref: 2,,,,,,,,
Barnhart,William,12/8/2019,V50WE,Ref: 1,,,,,,,Ref: 1,,,,,
Barnhart,William,1/3/2020,DV1ME,Ref: 1,,,Ref: 2,Ref: 3,,,,,,,,
Barnhart,William,1/3/2020,DV1WF,Ref: 1,,,,Ref: 2,,,,,,,,
Barnhart,William,1/4/2020,DV1MF,Ref: 2,,,Ref: 4,Ref: 3,,Ref: 1,Ref: 1,Ref: 1,Assist: 1,,,
Barnhart,William,1/5/2020,U20MF,Ref: 1,,,Ref: 2,Ref: 1,,Ref: 2,Ref: 1,Ref: 1,,,,
Barton,Peter,2/14/2020,U20WF,Ref: 1,,,,,,,,,,,,
Barton,Peter,2/15/2020,JTMWF,,,,,,,,,Ref: 2,,,,
Barton,Peter,2/15/2020,U20MF,Ref: 1,,,,,,,,,,,,
Barton,Peter,2/15/2020,U20WE,,,,Ref: 2,Ref: 2,,,Ref: 1,Video: 1,,Video: 1,,
Barton,Peter,2/16/2020,JTMMF,,,,,,,,Ref: 2,Ref: 1,,,,
Barton,Peter,2/16/2020,U17WF,Ref: 1,,,,Ref: 2,,,,,,,,
