Last Name,First Name,Date,Event,Pools,Table of 512,Table of 256,Table of 128,Table of 128,Table of 64,Table of 32,Table of 16,Table of 8,Semi-Finals,Bronze Medal Matches,Finals
Jeon,Nathan,7/1/2023,U19MF,Ref: 1, ,Ref: 4,Ref: 2,, ,Ref: 1,Video: 1,Video: 1, , ,Ref: 1
Jeon,Nathan,7/2/2023,U16MS,Ref: 2, , , ,, , , , , , , 
Jeon,Nathan,7/2/2023,U19WF,Ref: 1, ,Ref: 1,Ref: 2,, , , , , , , 
Jeon,Nathan,7/3/2023,DV1MF,Ref: 1, , , ,, , , , , , , 
Jeon,Nathan,7/6/2023,DV3MF,Ref: 1, , , ,, ,Ref: 1, , , , , 
Jeon,Nathan,7/6/2023,Y14WF,Ref: 1, , , ,, , ,Ref: 1, ,Video: 1, ,Ref: 1
Jeon,Nathan,7/7/2023,DV2WF,Ref: 1, , ,Ref: 2,,Ref: 1, , ,Ref: 1, , , 
Jeon,Nathan,7/7/2023,Y14MF,Ref: 1, ,Ref: 2,Ref: 2,,Ref: 1,Ref: 1, , , , , 
Jeon,Nathan,7/8/2023,Y12MF,Ref: 1, , , ,, , , , , , , 
Jeon,Nathan,7/8/2023,Y12WF,Ref: 1, ,Ref: 1,Ref: 2,, , ,Ref: 1, , , ,Video: 1
Jeon,Nathan,7/9/2023,Y10WF,Ref: 1, , ,Ref: 4,,Ref: 1,Ref: 1,Ref: 1, ,Video: 1, , 
Jugan,Bruce,1/6/2023,V60ME,Ref: 1, , , , ,Ref: 1,Ref: 1,Ref: 1, , , , 
Jugan,Bruce,1/6/2023,VETWE,Ref: 1, , ,Ref: 1, ,Ref: 2,Ref: 1, ,Video: 1, , , 
Jugan,Bruce,1/7/2023,V40WE,Ref: 1, , , , , ,Ref: 1,Ref: 2,Ref: 1  Video: 1, , , 
Jugan,Bruce,1/7/2023,V50WE,Ref: 1, , , , , ,Ref: 1, , , , , 
Jugan,Bruce,1/7/2023,V80WE, , , , , , , , , , , , 
Jugan,Bruce,1/8/2023,DV1ME,Ref: 1, ,Ref: 2,Ref: 1, , , , , , , , 
Jugan,Bruce,1/8/2023,U20WE,Ref: 1, ,Ref: 1,Ref: 2, ,Ref: 3, ,Ref: 1, ,Video: 1, , 
Jugan,Bruce,1/9/2023,DV1WE,Ref: 1, , ,Ref: 2, , , , , , , , 
Jugan,Bruce,7/5/2023,DV2ME,Ref: 1, , , ,,Ref: 1, , , , , , 
Jugan,Bruce,7/5/2023,Y14WE,Ref: 1, ,Ref: 4,Ref: 1,,Ref: 1, , , , , , 
Jugan,Bruce,7/6/2023,DV2WE,Ref: 1, , ,Ref: 2,,Ref: 1, , , , , , 
Jugan,Bruce,7/6/2023,Y14ME,Ref: 1, ,Ref: 4,Ref: 2,,Ref: 1, , , , , , 
Jugan,Bruce,7/7/2023,DV3ME,Ref: 1, , ,Ref: 2,,Ref: 1,Ref: 1, , , , , 
Jugan,Bruce,7/7/2023,Y12WE,Ref: 1, , ,Ref: 4,, ,Ref: 1, , , , , 
Jugan,Bruce,7/8/2023,Y10WE,Ref: 1, , ,Ref: 1,,Ref: 1, , ,Video: 1, , , 
Jugan,Bruce,7/8/2023,Y12ME,Ref: 1, , ,Ref: 1,, ,Ref: 1, , , , , 
Jugan,Bruce,7/9/2023,DV3WE,Ref: 1, , ,Ref: 2,,Ref: 2,Ref: 1,Ref: 1,Ref: 1,Video: 1, , 
Kastor,Tiki,6/2/2023,U16MS,Ref: 1,, ,Ref: 2, ,Ref: 2, , , , , , 
Kastor,Tiki,6/2/2023,U19ME,Ref: 1,,Ref: 2, , ,Ref: 1, , , , , , 
Kastor,Tiki,6/3/2023,DV2WS,Ref: 1,, ,Ref: 2, ,Ref: 2, , , , , , 
Kastor,Tiki,6/3/2023,U19WE,Ref: 1,, ,Ref: 2, ,Ref: 1, , , , , , 
Kastor,Tiki,6/4/2023,DV2MS,Ref: 2,, ,Ref: 5, ,Ref: 1,Ref: 1, , , , , 
Kastor,Tiki,6/4/2023,U19WS,Ref: 1,, ,Ref: 4, ,Ref: 2, , , , , , 
Kaszubowski,Adam,12/9/2022,DV1WF,Ref: 1, , , , ,Ref: 1,Ref: 1,Video: 1,Ref: 1, ,, 
Kaszubowski,Adam,12/10/2022,U20MF,Ref: 2, ,Ref: 2, , ,Ref: 1, ,Video: 1, , ,, 
Kaszubowski,Adam,12/11/2022,DV1MF,Ref: 1, , ,Ref: 1,Ref: 1,Ref: 1,Ref: 1,Video: 1,Ref: 1, ,, 
Kaszubowski,Adam,12/12/2022,U20WF,Ref: 2, , , , ,Ref: 1,Ref: 2,Ref: 1,Video: 1, ,,Video: 1
Kaszubowski,Adam,1/6/2023,DV1MF,Ref: 1, ,Ref: 1,Ref: 3,Ref: 1,Ref: 4,Ref: 1,Video: 1,Ref: 1, , , 
Kaszubowski,Adam,1/7/2023,DV1WF,Ref: 1, , ,Ref: 2, ,Ref: 2, ,Video: 1,Video: 1, , , 
Kaszubowski,Adam,1/7/2023,U20MF,Ref: 1, ,Ref: 2,Ref: 2, ,Ref: 1, , , , , , 
Kaszubowski,Adam,1/8/2023,V40MF,Ref: 1, , , , , , ,Ref: 1,Ref: 1  Video: 1, , , 
Kaszubowski,Adam,1/8/2023,V40WF,Ref: 1, , , , , , ,Ref: 1,Ref: 1  Video: 1,Video: 1, ,Ref: 1
Kaszubowski,Adam,1/8/2023,V60MF, , , , , , , , ,Video: 1, , , 
Kaszubowski,Adam,1/8/2023,V60WF, , , , , , , , , ,Ref: 1, , 
Kaszubowski,Adam,1/9/2023,VETMF,Ref: 1, , , , ,Ref: 3,Ref: 2, ,Video: 1, , , 
Kaszubowski,Adam,1/9/2023,VETWF,Ref: 1, , , , , ,Ref: 2, , , , , 
Kaszubowski,Adam,2/17/2023,U20MF,Ref: 1, ,Ref: 3,Ref: 2, ,Ref: 1, , ,Video: 1,Video: 1, ,Video: 1
Kaszubowski,Adam,2/18/2023,U20WF,Ref: 1, ,Ref: 2,Ref: 1, ,Ref: 1,Ref: 1,Video: 1, , , , 
Kaszubowski,Adam,2/19/2023,U17MF,Ref: 1, , ,Ref: 1, , , ,Video: 1,Video: 1, , , 
Kaszubowski,Adam,2/20/2023,U17WF,Ref: 1, , ,Ref: 2, ,Ref: 1,Ref: 1,Video: 1, , , , 
Khairat,Esmail,6/30/2023,DV1ME,Ref: 1, , ,Ref: 2,, , , ,Ref: 1, , , 
Khairat,Esmail,7/1/2023,U19WE,Ref: 1, ,Ref: 1, ,, , , , , , , 
Khairat,Esmail,7/2/2023,U16WE,Ref: 1, ,Ref: 1,Ref: 3,,Ref: 1,Ref: 1, , , , , 
Khairat,Esmail,7/2/2023,U19ME,Ref: 1, , , ,, , , , , , , 
Khairat,Esmail,7/3/2023,DV1WE,Ref: 1, , , ,, ,Ref: 2, ,Ref: 1, , , 
Khairat,Esmail,7/3/2023,U16ME,Ref: 1, , ,Ref: 1,,Ref: 1, , , , , , 
Khairat,Esmail,7/4/2023,STMWE, , , , ,, , , ,Ref: 1, ,Ref: 1, 
Khairat,Esmail,7/5/2023,DV2ME,Ref: 1, , ,Ref: 2,, , , , , , , 
Khairat,Esmail,7/6/2023,DV2WE,Ref: 1, , , ,, ,Ref: 1, , , , , 
Khairat,Esmail,7/6/2023,Y14ME,Ref: 1, ,Ref: 1,Ref: 1,,Ref: 1, , , , , , 
Khairat,Esmail,7/7/2023,Y12WE,Ref: 1, , ,Ref: 3,,Ref: 2, , , , , , 
Khairat,Esmail,7/8/2023,Y12ME,Ref: 1, , ,Ref: 1,, , , , , , , 
Khayat,Ziad,10/8/2022,U17ME, , ,Ref: 2,Ref: 2, ,Ref: 1,Ref: 1,Ref: 1,Ref: 1, , , 
Khayat,Ziad,10/8/2022,Y14WE,Ref: 1, , ,Ref: 2, ,Ref: 1,Ref: 1, ,Ref: 1, , , 
Khayat,Ziad,10/9/2022,U17WE,Ref: 1, ,Ref: 2,Ref: 4, ,Ref: 2, ,Ref: 1, , , , 
Khayat,Ziad,12/10/2022,DV1WE,Ref: 1, , ,Ref: 3, ,Ref: 1, , ,Ref: 1, ,, 
Khayat,Ziad,12/10/2022,U17ME,Ref: 1, ,Ref: 1,Ref: 2, ,Ref: 1, , , , ,, 
Khayat,Ziad,12/11/2022,U17WE, , , ,Ref: 1, ,Ref: 1,Ref: 1, ,Video: 1, ,, 
Khayat,Ziad,12/12/2022,U20ME,Ref: 1, ,Ref: 3,Ref: 1, , , , , ,Ref: 1,, 
Khayat,Ziad,12/12/2022,U20WE, , , ,Ref: 1, ,Ref: 1, , , , ,, 
Khayat,Ziad,1/6/2023,V50ME,Ref: 1, , , , ,Ref: 2,Ref: 2, , , , ,Ref: 1
Khayat,Ziad,1/7/2023,V60WE, , , , , , ,Ref: 1, ,Video: 1,Ref: 1, , 
Khayat,Ziad,1/7/2023,VETME,Ref: 1, , ,Ref: 2, ,Ref: 1,Ref: 1,Ref: 1,Ref: 1, , , 
Khayat,Ziad,1/9/2023,U20ME,Ref: 2, ,Ref: 3,Ref: 1, , , , ,Ref: 1, , , 
Khayat,Ziad,2/17/2023,U17WE,Ref: 1, ,Ref: 1,Ref: 1, ,Ref: 1, , ,Ref: 1, , , 
Khayat,Ziad,2/18/2023,U20ME,Ref: 1, ,Ref: 2,Ref: 2, ,Ref: 1, , , ,Ref: 1, , 
Khayat,Ziad,2/19/2023,JTMME, , , , , ,Ref: 1,Ref: 1,Ref: 1,Ref: 1, , , 
