Last Name,First Name,Event,Date,Pools,Pools,Table of 512,Table of 256,Table of 128,Table of 128,Table of 64,Table of 32,Table of 16,Table of 8,Semi-Finals,Bronze Medal Matches,Finals
Abdallah,Ahmed,U17ME,2/16/2025,Ref: 1,,,Ref: 3,,,,,,,,,
Abdallah,Ahmed,DV1ME,2/17/2025,Ref: 1,,,Ref: 2,Ref: 1,,,,,,,,
Abdallah,Ahmed,U17WE,2/17/2025,Ref: 1,,,Ref: 1,,,Ref: 1,,,,,,
Abdallah,Ahmed,U19MF,5/16/2025,Ref: 1, , , ,Ref: 3, ,Ref: 1,Ref: 1, , , , , 
Abdallah,Ahmed,U19WF,5/16/2025,Ref: 1, , , , , ,Ref: 2, ,Ref: 1, , , , 
Abdallah,Ahmed,U16ME,5/17/2025,Ref: 1, , , , , ,Ref: 1,Ref: 1,Ref: 1, , , , 
Abdallah,Ahmed,U19WE,5/17/2025,Ref: 1, , , ,Ref: 1, ,Ref: 1, , , , , , 
Abdallah,Ahmed,U16WF,5/18/2025,Ref: 2, , , ,Ref: 2, ,Ref: 2,Ref: 1, ,Ref: 1, , ,Video: 1
Abdelaziz,Abdelwahab,DV1ME,10/4/2024,Ref: 1,,,,,,,,,,,,
Abdelaziz,Abdelwahab,U20WF,10/4/2024,Ref: 1,,,,Ref: 3,,Ref: 1,,,,,,
Abdelaziz,Abdelwahab,DV1MF,10/5/2024,Ref: 1,,,,,,,,,,,,
Abdelaziz,Abdelwahab,DV2WF,10/7/2024,Ref: 1,,,,Ref: 1,,Ref: 1,,,,,,
Abdelaziz,Abdelwahab,U20MF,10/7/2024,Ref: 1,,,Ref: 1,Ref: 2,,Ref: 1,Ref: 1,,,,,
Abdelaziz,Abdelwahab,DV1MF,2/14/2025,Ref: 1,Ref: 1,,,Ref: 2,,,,,,,,
Abdelaziz,Abdelwahab,U20MF,2/15/2025,Ref: 1,,,,,,,,,,,,
Abdelaziz,Abdelwahab,U20WF,2/15/2025,Ref: 1,,,Ref: 2,Ref: 1,,Ref: 1,,,,,,
Abdelaziz,Abdelwahab,DV1WF,2/16/2025,Ref: 1,,,,Ref: 3,,Ref: 2,Ref: 1,Ref: 1,,,,
Abdelaziz,Abdelwahab,U17WF,2/17/2025,Ref: 1,,,Ref: 3,Ref: 2,,,,,,,,
Abdelaziz,Abdelwahab,U16WF,3/7/2025,Ref: 1,,,,,,,,,,,,
Abdelaziz,Abdelwahab,Y12MF,3/7/2025,Ref: 1,,,,,,,,,,,,
Abdelaziz,Abdelwahab,Y14MF,3/9/2025,Ref: 1,,Ref: 1,Ref: 3,Ref: 3,,Ref: 3,,Ref: 1,,,,
Abdelaziz,Abdelwahab,DV1WF,4/11/2025,Ref: 1,,,,Ref: 1,,Ref: 1,,Video: 1,Video: 1,,,
Abdelaziz,Abdelwahab,JTMMF,4/12/2025,,,,,,,,Ref: 1,Ref: 1,Ref: 1,,,
Abdelaziz,Abdelwahab,U19WF,4/13/2025,Ref: 1,,,,Ref: 1,,Ref: 1,,Video: 1,,,,
Abdelaziz,Abdelwahab,JTMME,4/14/2025,,,,,,,,,Ref: 1,Ref: 1,Ref: 1,,Ref: 1
Abdelaziz,Hisham,Y12MF,3/7/2025,Ref: 1,,,,,,,,,Video: 1,,,Video: 1
Abdelaziz,Hisham,Y14WF,3/8/2025,Ref: 1,,,,,,,,,,,,
Abdelaziz,Hisham,Y14MF,3/9/2025,Ref: 2,,,Ref: 6,Ref: 2,,Ref: 2,Ref: 1,,Video: 1,Video: 1,,
Abdelaziz,Hisham,U16MF,3/10/2025,Ref: 2,,,,,,,,,,,,
Abdelaziz,Hisham,DV1WF,4/11/2025,Ref: 1,,,,,,Ref: 1,Ref: 1,,Ref: 1,,,
Abdelaziz,Hisham,U19MF,4/11/2025,,,,Ref: 1,Ref: 1,,Ref: 1,,,Ref: 1,,,
Abdelaziz,Hisham,V60MF,4/12/2025,,,,,,,,Ref: 3,Ref: 1,Video: 1,,,Ref: 1
Abdelaziz,Hisham,V70WF,4/12/2025,Ref: 1,,,,,,,,Ref: 1,,,,
Abdelaziz,Hisham,V80WF,4/12/2025,Ref: 1,,,,,,,,,,Ref: 1  Video: 1,,Video: 1
Abdelaziz,Hisham,U19WF,4/13/2025,Ref: 1,,,,,,,,Ref: 1,,,,
Abdelaziz,Hisham,VETME,4/14/2025,Ref: 1,,,,Ref: 2,,,,Ref: 1,,,,
Abdelfatah,abdallah,U17ME,1/3/2025,Ref: 1,,,,,,,,,,,,
Abdelfatah,abdallah,U17WE,1/4/2025,Ref: 1,,,,Ref: 1,,Ref: 1,Ref: 1,,,,,
Abdelfatah,abdallah,V60WE,1/4/2025,Ref: 1,,,,,,,Ref: 1,Ref: 1,Video: 1,Video: 1,,
Abdelfatah,abdallah,DV1ME,1/5/2025,Ref: 1,,,Ref: 2,Ref: 2,,,,,,,,
Abdelfatah,abdallah,VETME,1/5/2025,Ref: 1,,,,Ref: 2,,Ref: 3,Ref: 1,,,,,
Abdelfatah,abdallah,DV1WE,1/6/2025,Ref: 1,,,,Ref: 3,,Ref: 1,Ref: 1,Ref: 1,,Ref: 1,,
Abdelfatah,abdallah,U20ME,2/14/2025,Ref: 2,,,Ref: 1,,,,,,,,,
Abdelfatah,abdallah,U20WE,2/14/2025,Ref: 1,,,Ref: 3,Ref: 1,,Ref: 1,,,Ref: 1,Video: 1,,
Abdelfatah,abdallah,DV1WE,2/15/2025,Ref: 1,,,,,,,,,,,,
Abdelfatah,abdallah,U17ME,2/16/2025,Ref: 1,,,Ref: 3,Ref: 2,,Ref: 1,,,,,,
Abdelfatah,abdallah,DV1ME,2/17/2025,Ref: 1,,,Ref: 3,Ref: 2,,,,,,,,
Abdelfatah,abdallah,U17WE,2/17/2025,Ref: 1,,,Ref: 2,Ref: 2,,,,,,,,
Acosta Pereira,Vilmarie,DV1WS,2/14/2025,Ref: 2,,,Ref: 1,Ref: 3,,Ref: 1,Ref: 1,Video: 1,Video: 1,,,
Acosta Pereira,Vilmarie,U20WE,2/14/2025,Ref: 1,,,,,,,,,,,,
Acosta Pereira,Vilmarie,DV1MS,2/15/2025,Ref: 2,,,Ref: 2,Ref: 4,,Ref: 2,,Video: 1,,,,
Acosta Pereira,Vilmarie,U20WS,2/15/2025,Ref: 2,,,Ref: 7,Ref: 3,,Ref: 3,,Video: 1,,,,
Acosta Pereira,Vilmarie,U17WS,2/16/2025,Ref: 2,,,Ref: 2,Ref: 2,,Ref: 2,,Ref: 1,Video: 1,,,
Acosta Pereira,Vilmarie,U20MS,2/16/2025,Ref: 2,,,Ref: 4,Ref: 3,,Ref: 1,,,,,,
Acosta Pereira,Vilmarie,U17MS,2/17/2025,Ref: 2,,,Ref: 2,Ref: 2,,Ref: 2,,,,,,
Acosta Pereira,Vilmarie,U17WE,2/17/2025,Ref: 1,,,Ref: 2,Ref: 3,,Ref: 1,Ref: 1,,,,,
Aery Fallick,Ozzie,DV2WF,10/7/2024,,,,,Ref: 2,,,Ref: 1,,,,,
Aery Fallick,Ozzie,DV2WS,10/7/2024,Ref: 1,,,,Ref: 2,,Ref: 2,,,,,,
Aguilar Flores,Angélica,U19MF,4/11/2025,Ref: 1,,,Ref: 1,Ref: 1,,Ref: 1,,,,,,
Aguilar Flores,Angélica,V50MS,4/11/2025,Ref: 1,,,,,,,Ref: 1,Ref: 1,Ref: 1,Video: 1,,
Aguilar Flores,Angélica,DV1MS,4/12/2025,Ref: 2,,,,Ref: 3,,Ref: 2,,Ref: 1,,,,
Aguilar Flores,Angélica,VETMS,4/12/2025,Ref: 1,,,,,,,,,,,,
Aguilar Flores,Angélica,U19WE,4/13/2025,Ref: 1,,,,Ref: 2,,Ref: 1,,,,,,
Aguilar Flores,Angélica,VETMF,4/13/2025,Ref: 1,,,,Ref: 1,,Ref: 1,Ref: 1,,,,,
Aguilar Flores,Angélica,U19WS,4/14/2025,Ref: 2,,,Ref: 2,Ref: 5,,Ref: 3,Ref: 1,,Ref: 1,Ref: 1,,
Alford,April,U17ME,1/3/2025,Ref: 1,,,,Ref: 1,,Ref: 1,Ref: 1,Ref: 1,,Ref: 1,,
Alford,April,VETWE,1/3/2025,Ref: 1,,,,,,Ref: 2,Ref: 1,Ref: 1,Ref: 1,,,
Alford,April,VTMME,1/4/2025,,,,,,,,Ref: 1,Ref: 2,Ref: 1,Ref: 1,Ref: 1,
Alford,April,V70WF,1/5/2025,Ref: 1,,,,,,,,Ref: 2,Ref: 1,,,
Alford,April,DV1WE,1/6/2025,Ref: 1,,,,,,,,,,,,
Alford,April,V50ME,1/6/2025,Ref: 1,,,,,,Ref: 4,Ref: 3,Ref: 1,Ref: 1,,,
Alford,April,Y12WE,3/8/2025,Ref: 1,,,,,,,Ref: 1,,Video: 1,,,Ref: 1
Alford,April,Y14WF,3/8/2025,Ref: 1,,,Ref: 2,Ref: 1,,,,,,,,
Alford,April,Y12ME,3/9/2025,Ref: 1,,,Ref: 2,Ref: 2,,Ref: 1,,Ref: 1,Video: 1,Ref: 1,,
Alford,April,Y14WE,3/9/2025,Ref: 1,,,Ref: 2,Ref: 1,,Ref: 1,,,,,,
Alford,April,Y12WF,3/10/2025,Ref: 2,,,,,,,,,,,,
Alford,April,DV1ME,4/11/2025,Ref: 1,,,,Ref: 3,,,,Ref: 1,,,,
Alford,April,DV1WE,4/12/2025,Ref: 1,,,,,,Ref: 2,,Video: 1,,,,
Alford,April,U19ME,4/12/2025,Ref: 1,,,Ref: 3,Ref: 1,,Ref: 1,,,,,,
Alford,April,V60ME,4/13/2025,Ref: 1,,,,,,Ref: 2,Ref: 2,Ref: 1,,,,
Alford,April,V70ME,4/13/2025,Ref: 1,,,,,,,Ref: 2,Ref: 1,Video: 1,Ref: 1,,Video: 1
Alford,April,JTMWE,4/14/2025,,,,,,,,,Ref: 1,Ref: 1,Ref: 1,Ref: 1,
Alford,April,U16WE,5/16/2025,Ref: 1, , , ,Ref: 2, , , , , , , , 
Alford,April,U19MF,5/16/2025,Ref: 1, , , ,Ref: 2, ,Ref: 1,Ref: 1, , , , , 
Alford,April,U16ME,5/17/2025,Ref: 1, , , ,Ref: 1, , ,Ref: 2, , , , ,Ref: 1
Alford,April,U19WE,5/17/2025,Ref: 1, , , ,Ref: 2, ,Ref: 1,Ref: 1, , , , , 
Alford,April,U19ME,5/18/2025,Ref: 1, , , , , , , ,Ref: 1, , , , 
Al-Nasser,Mahmoud,CTMWS,11/8/2024,,,,,,,,,Ref: 1,Ref: 1,Ref: 1,,
Al-Nasser,Mahmoud,Y14MF,11/8/2024,Ref: 1,,,,,,,,Ref: 1,,,,
Al-Nasser,Mahmoud,CTMMS,11/9/2024,,,,,,,,,Ref: 1,,,,
Al-Nasser,Mahmoud,U17WS,11/9/2024,Ref: 2,,,Ref: 3,Ref: 4,,Ref: 3,,,,,,
Al-Nasser,Mahmoud,U17MS,11/10/2024,Ref: 2,,,Ref: 1,Ref: 2,,Ref: 2,,,,,,
Al-Nasser,Mahmoud,Y14WS,11/10/2024,Ref: 2,,,,Ref: 6,,Ref: 3,Ref: 1,Ref: 1,Ref: 1,,,
Al-Nasser,Mahmoud,Y14MS,11/11/2024,Ref: 2,,,,Ref: 8,,Ref: 3,Ref: 2,Ref: 2,,,,
Al-Nasser,Mahmoud,DV1WS,1/4/2025,Ref: 2,,,Ref: 2,Ref: 2,,Ref: 1,,,,,,
Al-Nasser,Mahmoud,V60MS,1/4/2025,Ref: 1,,,,,,,Ref: 2,Ref: 2,Ref: 1,,,
Al-Nasser,Mahmoud,VETMS,1/5/2025,Ref: 1,,,,,,Ref: 3,Ref: 2,Ref: 1,Ref: 1,,,
Al-Nasser,Mahmoud,VETWS,1/5/2025,Ref: 1,,,,,,Ref: 1,Ref: 2,,,,,
Al-Nasser,Mahmoud,VTMWS,1/6/2025,,,,,,,,,,Ref: 1,Ref: 1,Ref: 1,
Al-Nasser,Mahmoud,U19MS,5/16/2025,Ref: 2, , , ,Ref: 2, ,Ref: 1,Ref: 1, , , , , 
Al-Nasser,Mahmoud,U16WS,5/17/2025,Ref: 1, , , ,Ref: 3, ,Ref: 2,Ref: 2, , , , , 
Al-Nasser,Mahmoud,U19WE,5/17/2025,Ref: 1, , , ,Ref: 1, ,Ref: 1, , , , , , 
Al-Nasser,Mahmoud,U19WS,5/18/2025,Ref: 2, , , ,Ref: 4, ,Ref: 3,Ref: 2,Ref: 1, , , , 
Al-Nasser,Zaid,U20WF,10/4/2024,Ref: 1,,,Ref: 1,Ref: 1,,,,,,,,
Al-Nasser,Zaid,DV2MF,10/6/2024,Ref: 1,,,Ref: 2,Ref: 1,,Ref: 1,Ref: 1,Ref: 1,,,,Ref: 1
Al-Nasser,Zaid,DV2WF,10/7/2024,Ref: 1,,,,,,,,,,,,
Al-Nasser,Zaid,U20MF,10/7/2024,Ref: 1,,,Ref: 3,,,,,,,,,
Al-Nasser,Zaid,CTMWS,11/8/2024,,,,,,,,,Ref: 1,Ref: 1,Ref: 1,,
Al-Nasser,Zaid,U20ME,11/8/2024,Ref: 1,,,Ref: 2,Ref: 1,,,,,,,,
Al-Nasser,Zaid,U17MF,11/9/2024,Ref: 1,,,Ref: 3,,,Ref: 1,,,,,,
Al-Nasser,Zaid,Y14WF,11/9/2024,Ref: 1,,,Ref: 2,Ref: 1,,Ref: 2,,,,,,
Al-Nasser,Zaid,U17WF,11/10/2024,Ref: 1,,,Ref: 1,Ref: 3,,Ref: 1,,Ref: 1,,,,
Al-Nasser,Zaid,U20MF,11/11/2024,Ref: 1,,,Ref: 3,Ref: 2,,Ref: 1,,,,,,
Al-Nasser,Zaid,U17MS,12/6/2024,Ref: 2,,,Ref: 3,Ref: 4,,Ref: 2,,,,,,
Al-Nasser,Zaid,U20WF,12/6/2024,Ref: 1,,,,Ref: 2,,Ref: 1,Ref: 1,Ref: 1,,,,
Al-Nasser,Zaid,U17WF,12/7/2024,,,,,Ref: 2,,Ref: 2,Ref: 1,Ref: 1,,,,
Al-Nasser,Zaid,U20MS,12/7/2024,Ref: 2,,,Ref: 4,Ref: 4,,Ref: 1,Ref: 1,Ref: 1,,Ref: 1,,
