Last Name,First Name,Date,Event,Pools,Pools,Table of 512,Table of 256,Table of 128,Table of 128,Table of 64,Table of 32,Table of 16,Table of 8,Semi-Finals,Bronze Medal Matches,Finals
Acosta Pereira,Vilmarie,11/13/2016,Y10MS,Ref: 1,,,,,,Ref: 5,Ref: 2,Ref: 1,Ref: 1,Video: 1  Assist: 1,,
Acosta Pereira,Vilmarie,11/12/2016,Y12WS,Ref: 1,,,,Ref: 1,,Ref: 2,Ref: 1,Ref: 1,,Ref: 1,,
Acosta Pereira,Vilmarie,11/11/2016,Y14MS,Ref: 1,,,,Ref: 2,,Ref: 2,Ref: 1,Ref: 1,Ref: 1,Ref: 1,,
Acosta Pereira,Vilmarie,11/13/2016,Y14WE,Ref: 1,,,,Ref: 2,,Ref: 1,Ref: 1,Ref: 1,,,,Ref: 1
Acosta Pereira,Vilmarie,11/14/2016,Y14WS,Ref: 1,,,,Ref: 3,,Ref: 3,Ref: 1,Ref: 1,,,,
Acosta Pereira,Vilmarie,12/4/2016,D1AMS,Ref: 1,,,,,,Ref: 3,Ref: 1,,Assist: 1,,,
Acosta Pereira,Vilmarie,12/2/2016,D1AWS,Ref: 1,,,,,,,Ref: 1,Ref: 1,Ref: 1,,,
Acosta Pereira,Vilmarie,12/5/2016,DV1MS,Ref: 1,,,,Ref: 1,,Ref: 2,,,,,,
Acosta Pereira,Vilmarie,12/3/2016,DV1WS,Ref: 1,,,,,,,,,,,,
Acosta Pereira,Vilmarie,12/5/2016,V40WS,Ref: 1,,,,,,,,Ref: 2,Ref: 1  Video: 1,,,
Acosta Pereira,Vilmarie,12/2/2016,V50MS,,,,,,,,Ref: 1,Ref: 1,Ref: 1,,,
Acosta Pereira,Vilmarie,12/3/2016,V60WS,,,,,,,,Ref: 1,Ref: 1,Ref: 2,Ref: 1,,
Acosta Pereira,Vilmarie,12/2/2016,V70MS,Ref: 1,,,,,,,,Ref: 1,Video: 2,Video: 1,,
Acosta Pereira,Vilmarie,12/3/2016,V70WS,,,,,,,,,,Ref: 1,,,
