Last Name,First Name,Event,Date,Pools,Pools,Table of 512,Table of 256,Table of 128,Table of 128,Table of 64,Table of 32,Table of 16,Table of 8,Semi-Finals,Bronze Medal Matches,Finals
Alperstein,Donald,U20WE,1/11/2026,Ref: 1, , ,Ref: 2,Ref: 2,,Ref: 1, ,Video: 1,Ref: 1, , , 
Alperstein,Donald,U20ME,1/12/2026,Ref: 2, , ,Ref: 1, ,, , , , , , , 
Alvarado Rodriguez,Eloy,DV1MF,10/3/2025,Ref: 1, , ,Ref: 2,Ref: 1,, , , , , , , 
Alvarado Rodriguez,Eloy,U20WF,10/3/2025,Ref: 1, , ,Ref: 1,Ref: 1,,Ref: 1, , , , , , 
Alvarado Rodriguez,Eloy,U17WF,10/4/2025,Ref: 1, , , , ,, , ,Ref: 1, , , , 
Alvarado Rodriguez,Eloy,DV1WF,10/5/2025,Ref: 1, , , ,Ref: 2,,Ref: 1,Ref: 1, , , , , 
Alvarado Rodriguez,Eloy,U20MF,10/5/2025,Ref: 1, , ,Ref: 3,Ref: 1,, , , , , , , 
Alvarado Rodriguez,Eloy,U17MF,10/6/2025,Ref: 2, , , ,Ref: 4,,Ref: 1,Ref: 1,Video: 1, , , , 
Alvarado Rodriguez,Eloy,Y14MF,11/14/2025,Ref: 1, , , ,Ref: 2,, , , , , , , 
Alvarado Rodriguez,Eloy,U17MF,11/15/2025,Ref: 1, , , , ,, ,Ref: 1, , , , , 
Alvarado Rodriguez,Eloy,U17WF,11/15/2025,Ref: 1, , ,Ref: 1, ,, , , , , , , 
Alvarado Rodriguez,Eloy,DV1MF,11/16/2025,Ref: 1, , , , ,, , , , , , , 
Alvarado Rodriguez,Eloy,Y14WF,11/16/2025,Ref: 1, , ,Ref: 1,Ref: 3,,Ref: 2, ,Ref: 1,Video: 1, , , 
Alvarado Rodriguez,Eloy,DV1WF,11/17/2025,Ref: 1, , , ,Ref: 3,,Ref: 1, , , , , , 
Alvarado Rodriguez,Eloy,U20MF,1/9/2026,Ref: 1, , ,Ref: 2,Ref: 1,,Ref: 1, , , , , , 
Alvarado Rodriguez,Eloy,JTMMF,1/10/2026, , , , , ,, ,Ref: 1,Ref: 1, , , , 
Alvarado Rodriguez,Eloy,U20WF,1/10/2026,Ref: 1, , , ,Ref: 2,,Ref: 1, , , , , , 
Alvarado Rodriguez,Eloy,U17MF,1/11/2026,Ref: 1, , ,Ref: 1,Ref: 3,,Ref: 1, , , ,Ref: 1, , 
Alvarado Rodriguez,Eloy,U17WF,1/12/2026,Ref: 1, , , , ,,Ref: 1,Ref: 1,Video: 1, , , , 
Alvarado Rodriguez,Eloy,U20MF,1/23/2026,Ref: 1, , , ,Ref: 3,,Ref: 1,Ref: 1, , , , , 
Alvarado Rodriguez,Eloy,U17WF,1/24/2026,Ref: 1, , , , ,,Ref: 3,Ref: 1, , , , , 
Alvarado Rodriguez,Eloy,U20MS,1/24/2026,Ref: 1, , , ,Ref: 1,,Ref: 2,Ref: 1, , , , , 
Alvarado Rodriguez,Eloy,U20WF,1/25/2026,Ref: 1, , , , ,,Ref: 2,Ref: 1, , , , , 
Alvarado Rodriguez,Eloy,DV1WF,2/12/2026,Ref: 1, , , ,Ref: 1,,Ref: 1, ,Ref: 1, , , , 
Alvarado Rodriguez,Eloy,VETWF,2/12/2026,Ref: 1, , , , ,, ,Ref: 3,Ref: 1,Ref: 1, , , 
Alvarado Rodriguez,Eloy,V70WF,2/13/2026,Ref: 1, , , , ,, , ,Ref: 1,Ref: 1  Video: 1, , , 
Alvarado Rodriguez,Eloy,VETMF,2/13/2026,Ref: 1, , , ,Ref: 1,,Ref: 4,Ref: 1,Ref: 2, , , , 
Alvarado Rodriguez,Eloy,DV1MF,2/14/2026,Ref: 2, , ,Ref: 2,Ref: 3,, , , , , , , 
Alvarado Rodriguez,Eloy,U20WF,2/14/2026,Ref: 1, , , ,Ref: 1,, , , , , , , 
Alvarado Rodriguez,Eloy,U20MF,2/15/2026,Ref: 2, , ,Ref: 2,Ref: 2,, , ,Video: 1,Ref: 1, , , 
Alvarado Rodriguez,Eloy,Y14MF,3/6/2026,Ref: 1, , ,Ref: 1, ,,Ref: 1, , ,Video: 1, , , 
Alvarado Rodriguez,Eloy,DV2MF,3/7/2026,Ref: 1, , , ,Ref: 1,,Ref: 1, , , , , , 
Alvarado Rodriguez,Eloy,Y12WF,3/7/2026,Ref: 1, , ,Ref: 1,Ref: 2,, , ,Ref: 1,Video: 1, , , 
Alvarado Rodriguez,Eloy,DV2WF,3/8/2026,Ref: 1, , , , ,, , , , , , , 
Alvarado Rodriguez,Eloy,Y12MF,3/8/2026,Ref: 1, , ,Ref: 1,Ref: 3,,Ref: 1,Ref: 1, , , , , 
Alvarado Rodriguez,Eloy,Y14WF,3/9/2026,Ref: 2, , ,Ref: 4,Ref: 3,,Ref: 2,Ref: 1, , , , , 
Angelova-Atanassov,Anna,DV1MF,10/3/2025,Ref: 1, , ,Ref: 1,Ref: 1,, , ,Ref: 1, , , , 
