,First Name,Date,Event,Pools,Table of 512,Table of 256,Table of 128,Table of 64,Table of 32,Table of 16,Table of 8,Semi-Finals,Bronze Medal Matches,Finals
Tamulonis,Fen,7/4/2021,DV1ME,Ref: 1,,Ref: 1,Ref: 2,,Ref: 1,,,,,
Tamulonis,Fen,7/4/2021,U17WE,Ref: 1,,Ref: 1,Ref: 2,Ref: 1,,Video: 1,Ref: 1,Video: 1,,
Tamulonis,Fen,7/5/2021,STMME,,,,,,Ref: 1,Ref: 1,,,,
Tamulonis,Fen,7/5/2021,U20WE,,,Ref: 2,Ref: 2,Ref: 1,,Assist: 1,Assist: 1,,,
Tan,Lawrence,7/3/2021,U17ME,Ref: 1,,Ref: 3,Ref: 1,,,Ref: 1,,,,Ref: 1
Tan,Lawrence,7/3/2021,U17MF,Ref: 1,,Ref: 1,Ref: 1,,,,,,,
Tan,Lawrence,7/4/2021,U17WF,Ref: 1,,Ref: 1,Ref: 2,Ref: 1,,,,,,
Tan,Lawrence,7/5/2021,STMMF,,,,,,Ref: 1,,Ref: 1,,,
Tan,Lawrence,7/5/2021,U20WE,,,,,,,Ref: 1,Ref: 1,,,
Tan,Lawrence,7/6/2021,U20MF,Ref: 1,,Ref: 3,Ref: 2,Ref: 1,,,,,,
Tan,Lawrence,7/7/2021,V40WF,Ref: 1,,,,,,,Ref: 1,Assist: 1,,Assist: 1
Tan,Lawrence,7/8/2021,Y14WF,Ref: 1,,,Ref: 1,Ref: 1,Ref: 1,,Ref: 1,,,
Tan,Lawrence,7/9/2021,Y12MF,Ref: 1,,,Ref: 1,Ref: 1,Ref: 1,,Ref: 1,Assist: 1,,
Tan,Lawrence,7/9/2021,Y12WF,Ref: 1,,,Ref: 1,Ref: 2,Ref: 1,,,,,
Tan,Lawrence,7/10/2021,Y10MF,Ref: 1,,,Ref: 2,Ref: 2,Ref: 1,Ref: 1,Ref: 1,Assist: 1,,
Tan,Lawrence,7/10/2021,Y10WF,Ref: 2,,,Ref: 1,Ref: 3,Ref: 1,,Video: 1,,,
Tan,Lawrence,7/11/2021,DV2MF,Ref: 1,,Ref: 1,Ref: 1,Ref: 1,,,,,,
Tan,Lawrence,7/11/2021,DV2WF,Ref: 1,,,Ref: 1,Ref: 2,,,,,,
Tan,Lawrence,7/12/2021,DV3MF,Ref: 1,,,Ref: 2,Ref: 1,Ref: 1,,,,,
Tan,Lawrence,7/22/2021,JTMMF,,,,,,,,Ref: 1,Ref: 1,Ref: 1,
Tan,Lawrence,7/22/2021,U16WF,Ref: 1,,,Ref: 1,Ref: 2,Ref: 1,Assist: 2,Assist: 1,,,
Tan,Lawrence,7/23/2021,JTMME,,,,,,Ref: 1,,Ref: 1,,,
Tan,Lawrence,7/23/2021,U16MF,Ref: 1,,,Ref: 2,Ref: 2,Ref: 1,,,,,
Tan,Lawrence,7/24/2021,U19WF,Ref: 1,,,Ref: 3,Ref: 2,Ref: 1,Assist: 2,,,,
Tan,Lawrence,7/25/2021,U19MF,Ref: 1,,Ref: 2,,,,,,,,
Tan,Lawrence,7/25/2021,U19WE,Ref: 1,,,Ref: 3,Ref: 1,Ref: 1,Assist: 1,Ref: 1,Assist: 1,,
Tang,Albert,7/3/2021,U17ME,Ref: 1,,Ref: 2,Ref: 2,Ref: 1,,,,,,
Tang,Albert,7/3/2021,U17MF,Ref: 1,,Ref: 2,Ref: 2,Ref: 1,Ref: 1,,,,,
Tang,Albert,7/4/2021,DV1MS,Ref: 1,,,Ref: 1,,,,,,,
Tang,Albert,7/4/2021,U17WS,Ref: 1,,,,,,,,,,
Tang,Albert,7/5/2021,U20WS,Ref: 2,,Ref: 2,Ref: 4,Ref: 2,,Assist: 1,,,,
Tang,Albert,7/5/2021,V40WS,,,,,,,,Video: 1  Assist: 1,Assist: 1,,Assist: 1
Tang,Albert,7/6/2021,JTMWS,,,,,,Ref: 1,Ref: 1,Ref: 1,,,
Tang,Albert,7/6/2021,U20MS,Ref: 2,,Ref: 4,Ref: 4,,,Assist: 1,,,,
Tang,Albert,7/7/2021,Y14MS,Ref: 1,,,Ref: 2,Ref: 1,Ref: 1,Ref: 1,,Ref: 1,,
Tang,Albert,7/8/2021,Y14WS,Ref: 1,,,Ref: 2,Ref: 2,Ref: 1,,Assist: 1,Ref: 1,,
Tang,Albert,7/9/2021,Y12MS,Ref: 1,,,Ref: 1,Ref: 2,Ref: 1,,Ref: 1,,,Ref: 1
Tang,Albert,7/9/2021,Y12WS,Ref: 1,,,,Ref: 2,,,,,,
Tang,Albert,7/10/2021,D1AMS,Ref: 1,,,,,Ref: 1,,,,,
Tang,Albert,7/10/2021,D1AWS,Ref: 1,,,,Ref: 1,Ref: 1,Ref: 1,Ref: 1,,,
Tang,Albert,7/11/2021,DV2MS,Ref: 1,,,Ref: 3,Ref: 1,,,Ref: 1,,,
Tang,Albert,7/11/2021,DV2WS,Ref: 1,,,,Ref: 1,,,,,,
Tang,Albert,7/12/2021,DV3MF,Ref: 1,,,Ref: 1,Ref: 1,,Ref: 1,Assist: 1,Assist: 1,,Ref: 1
Tang,Albert,7/22/2021,U19ME,Ref: 1,,,,,,,,,,
Tang,Albert,7/22/2021,U19WS,Ref: 1,,,Ref: 3,,,Ref: 1,,,,
Tang,Albert,7/23/2021,U16MF,Ref: 1,,,Ref: 2,Ref: 2,Ref: 1,Ref: 1  Assist: 1,Video: 1,,,
Tang,Albert,7/24/2021,JTMMS,,,,,,,Ref: 2,,,,
Tang,Albert,7/24/2021,U16WS,Ref: 1,,,Ref: 1,Ref: 4,,Ref: 1  Assist: 1,Assist: 1,Assist: 1,,Assist: 1
Tang,Albert,7/25/2021,U19MF,Ref: 1,,Ref: 1,Ref: 3,Ref: 1,Ref: 1,Video: 1,,,,
Tass,Atilio,5/6/2021,Y14MS,Ref: 2,,,Ref: 2,Ref: 2,,,,,,
Tass,Atilio,5/6/2021,Y14WS,Ref: 2,,,Ref: 1,Ref: 2,Ref: 1,,,,,
Tass,Atilio,5/7/2021,U17WS,Ref: 2,,,Ref: 2,Ref: 2,Ref: 1,Video: 2,Video: 1,Video: 1,,
Tass,Atilio,5/8/2021,DV1WS,,,,Ref: 1,,,,,,,
Tass,Atilio,5/8/2021,U17MS,Ref: 2,,,Ref: 2,Ref: 2,Ref: 1,Ref: 1 Video: 1,Video: 1,Video: 1,,
Tass,Atilio,5/9/2021,U20MS,Ref: 2,,,Ref: 2,Ref: 2,Ref: 1,Ref: 1 Video: 1,Video: 1,Assist: 1,,Ref: 1
Tass,Atilio,5/9/2021,U20WS,,,,,Ref: 3,Ref: 1,Video: 1,Video: 1,,,
